first_seen_date,keyword,pubDate,title,description,source_id,source_name,link,category,country,language,article_id,image_url
2026-09-06,forest products,2026-09-05 12:00:00,Brink Forest Products to cut 50 jobs at its Prince George lumber plant,"Brink Forest Products cuts roughly 50 jobs at its Prince George, B.C., plant as the company reduces operations to 20 per cent citing a lack of fibre and U.S. tariff costs, among factors.",cbc,Cbc,https://www.cbc.ca/news/canada/british-columbia/brink-cuts-prince-george-jobs-9.7333320?cmp=rss,top,canada,english,56e47433ac9868a838f12c000fac4d5a,"https://i.cbc.ca/ais/1.7498483,1743475972000/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C0%2C1919%2C1079%29%3B"
2026-09-06,forest products,2026-09-05 12:00:00,Brink Forest Products to cut 50 jobs at its Prince George lumber plant - CBC,Brink Forest Products to cut 50 jobs at its Prince George lumber plant CBC,google,Cbc,https://www.cbc.ca/news/canada/british-columbia/brink-cuts-prince-george-jobs-9.7333320,business,canada,english,8e8048c39d520e0d5da17d494a3d37b8,
2026-09-06,mass timber,2026-09-05 00:00:00,Insurance and moisture controls now dictate mass timber schedules,,newsbreak,Marketscale,https://www.marketscale.com/industries/engineering-and-construction/insurance-and-moisture-controls-now-dictate-mass-timber-schedules,top,united states of america,english,89b50f98e14e2f1beec923be350c7f55,
2026-09-06,mass timber,2026-09-05 00:00:00,HUD’s 24-month mass timber modular project goes after the cost driver: shipping the modules,,newsbreak,Marketscale,https://www.marketscale.com/industries/engineering-and-construction/huds-24-month-mass-timber-modular-project-goes-after-the-cost-driver-shipping-the-modules,top,united states of america,english,d38b6ee821103b34252a644bdaecc19d,
2026-09-06,mill closure,2026-09-04 21:39:21,Negotiators appointed in effort to keep Howe Sound pulp mill operating,"The provincial government has appointed two negotiators to work with Domtar in an effort to keep the Howe Sound pulp mill operating, MLA Randene Neill announced Friday.",citynews1130,Citynews,https://vancouver.citynews.ca/2026/09/04/negotiators-howe-sound-pulp-mill/,"top, business",united states of america,english,a2a2cd33514795276ac25375d4be2dce,https://vancouver.citynews.ca/wp-content/blogs.dir/sites/9/2026/08/21/Howe-Sound-Pulp-Mill-Domtar-Port-Mellon-Gibsons-Sunshine-Coast-2.png
2026-09-06,sawmill,2026-09-04 19:12:45,Sawmill revival aims to reduce wildfire risk in Sierra Nevada,Tahoe Forest Products secures $50 million in USDA-backed loans to scale up operations.,kolotv,Https://www.kolotv.com,https://www.kolotv.com/2026/09/04/sawmill-revival-aims-reduce-wildfire-risk-sierra-nevada/,"top, business",united states of america,english,5cade81395036c62c57b917a020eef30,https://gray-kolo-prod.gtv-cdn.com/resizer/v2/QBSJKMXXSBC63PCO7P2VYZCERQ.jpg?auth=cc3002b111555f24c73474e151c3c323b7e5400c4044084e3e0674dca72b78c8&width=1200&height=600&smart=true
2026-09-06,timber,2026-09-05 13:00:00,"Critic calls on B.C. to salvage more wildfire-burned timber, province says that's 'unrealistic.' Here's why",Kamloops-North Thompson MLA Ward Stamer is calling for the province’s salvage rate to rise to 25 per cent and for more efficient access to wildfire-damaged timber.,cbc,Cbc,https://www.cbc.ca/news/canada/british-columbia/wild-fire-salvage-what-to-know-9.7330107?cmp=rss,"top, environment",canada,english,8af9a1a58a765673911ccb0555a7bf17,"https://i.cbc.ca/ais/619d67b7-e2cf-437a-8913-fa2634d20810,1788384984527/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C365%2C7008%2C3942%29%3B"
2026-09-06,timber,2026-09-05 02:28:00,Washington looks to boost salvage logging as wildfires scorch record amount of state land,"Summer wildfires burning through Washington just broke another record. They've scorched more than 886,000 acres. Of those, 93,000 acres are on state trust land, marking the record for ...",chronline,Chronline,"https://www.chronline.com/stories/washington-looks-to-boost-salvage-logging-as-wildfires-scorch-record-amount-of-state-land,407664","top, environment",united states of america,english,8a39a18fb1612fe98d6ebfc1076b1c73,https://cdn3.creativecirclemedia.com/lafromboise/large/20260904-192813-8aa-IMG_2261-2048x1536.jpeg
2026-09-06,timber,2026-09-05 18:14:00,State looks to boost salvage logging as wildfires scorch record amount of Washington lands,"Summer wildfires have scorched more than 886,000 acres, 93,000 of which are on state trust land, marking the record for the largest amount of state-managed land burned by fires in a season since recordkeeping began.",yakimaherald,Yakima Herald-republic,https://www.yakimaherald.com/news/northwest/state-looks-to-boost-salvage-logging-as-wildfires-scorch-record-amount-of-washington-lands/article_fba93a71-656a-48ff-b874-43a1e422ef41.html,education,united states of america,english,d4ecac4f474477152cbdf6de9c5fb696,https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/4/97/4971709d-e981-4984-a95f-22c140180af6/6a9c5d203d395.image.jpg?resize=300%2C225
2026-09-06,wildland urban interface,2026-09-05 18:00:00,Maui Fire Department and partner organizations conduct training for home wildfire assessors,"The four-day training, attended by both Maui firefighters and community volunteers, covered wildfire and home ignition fundamentals, homeowner engagement and communication, HWMO’s home assessment process and software, and included classroom sessions as well as extensive hands-on field practice.",mauinow,Maui Now,https://mauinow.com/2026/09/05/maui-fire-department-and-partner-organizations-conduct-training-for-home-wildfire-assessors/,"top, environment",united states of america,english,17f4cb286868ae36edda135f06e23d85,https://media.mauinow.com/file/mauinow/2026/09/AJ9A0369a-300x263.jpg
